position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w
1,-0.3,1,1,0,0,0
1,-0.29,1,1,0,0,0
1,-0.28,1,1,0,0,0
1,-0.27,1,1,0,0,0
1,-0.26,1,1,0,0,0
1,-0.25,1,1,0,0,0
1,-0.24,1,1,0,0,0
1,-0.23,1,1,0,0,0
1,-0.22,1,1,0,0,0
1,-0.21,1,1,0,0,0
1,-0.2,1,1,0,0,0
1,-0.19,1,1,0,0,0
1,-0.18,1,1,0,0,0
1,-0.17,1,1,0,0,0
1,-0.16,1,1,0,0,0
1,-0.15,1,1,0,0,0
1,-0.14,1,1,0,0,0
1,-0.13,1,1,0,0,0
1,-0.12,1,1,0,0,0
1,-0.11,1,1,0,0,0
1,-0.1,1,1,0,0,0
1,-0.09,1,1,0,0,0
1,-0.08,1,1,0,0,0
1,-0.07,1,1,0,0,0
1,-0.06,1,1,0,0,0
1,-0.05,1,1,0,0,0
1,-0.04,1,1,0,0,0
1,-0.03,1,1,0,0,0
1,-0.02,1,1,0,0,0
1,-0.01,1,1,0,0,0
1,0,1,1,0,0,0
1,0.01,1,1,0,0,0
1,0.02,1,1,0,0,0
1,0.03,1,1,0,0,0
1,0.04,1,1,0,0,0
1,0.05,1,1,0,0,0
1,0.06,1,1,0,0,0
1,0.07,1,1,0,0,0
1,0.08,1,1,0,0,0
1,0.09,1,1,0,0,0
1,0.1,1,1,0,0,0
1,0.11,1,1,0,0,0
1,0.12,1,1,0,0,0
1,0.13,1,1,0,0,0
1,0.14,1,1,0,0,0
1,0.15,1,1,0,0,0
1,0.16,1,1,0,0,0
1,0.17,1,1,0,0,0
1,0.18,1,1,0,0,0
1,0.19,1,1,0,0,0
1,0.2,1,1,0,0,0
1,0.21,1,1,0,0,0
1,0.22,1,1,0,0,0
1,0.23,1,1,0,0,0
1,0.24,1,1,0,0,0
1,0.25,1,1,0,0,0
1,0.26,1,1,0,0,0
1,0.27,1,1,0,0,0
1,0.28,1,1,0,0,0
1,0.29,1,1,0,0,0
